Date : 2022-03-09 17:21:43
Directory : d:\PZB\Cocos3D\HelloTK3.4.0
Total : 232 files,  12784 codes, 750 comments, 2083 blanks, all 15617 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\sprite-723e419c.js                                                         | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\sprite-frame-1c023836.js                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\terrain-asset-42611908.js                                                  | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\terrain.js                                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\texture-buffer-pool-32e209c1.js                                            | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\transform-utils-65bf8251.js                                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\tween.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\ui.js                                                                      | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\vertex-format-bf491aa3.js                                                  | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\video.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\view-50c22e7e.js                                                           | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\webgl-define-47af0bf2.js                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\webview.js                                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\first-screen.js                                                                  | JavaScript         |        241 |          0 |         20 |        261 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\game.js                                                                          | JavaScript         |         76 |         16 |          9 |        101 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\game.json                                                                        | JSON               |         22 |          0 |          1 |         23 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\cache-manager.js                                                     | JavaScript         |        232 |         28 |         28 |        288 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\AssetManager.js                                               | JavaScript         |        431 |          6 |         64 |        501 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\Editbox.js                                                    | JavaScript         |        149 |          1 |         38 |        188 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\Game.js                                                       | JavaScript         |         59 |          1 |         13 |         73 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\globalAdapter\ContainerStrategy.js                            | JavaScript         |         15 |          1 |          5 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\globalAdapter\View.js                                         | JavaScript         |         34 |          1 |          4 |         39 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\globalAdapter\index.js                                        | JavaScript         |          5 |          0 |          1 |          6 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\index.js                                                      | JavaScript         |          5 |          0 |          4 |          9 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\misc.js                                                       | JavaScript         |          2 |          0 |          1 |          3 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\dom-parser.js                                                 | JavaScript         |        195 |         54 |         41 |        290 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\dom.js                                                        | JavaScript         |      1,056 |        133 |        274 |      1,463 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\entities.js                                                   | JavaScript         |        244 |          0 |          1 |        245 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\sax.js                                                        | JavaScript         |        522 |         69 |        156 |        747 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Audio.js                                                    | JavaScript         |        231 |          1 |         41 |        273 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Canvas.js                                                   | JavaScript         |         54 |          3 |         12 |         69 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Element.js                                                  | JavaScript         |         31 |          0 |         19 |         50 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Event.js                                                    | JavaScript         |         19 |          0 |          6 |         25 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventIniter\MouseEvent.js                                   | JavaScript         |         11 |          0 |          4 |         15 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventIniter\TouchEvent.js                                   | JavaScript         |         34 |          0 |          8 |         42 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventIniter\index.js                                        | JavaScript         |         19 |          0 |          4 |         23 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventTarget.js                                              | JavaScript         |         66 |          0 |         22 |         88 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\FileReader.js                                               | JavaScript         |         20 |          3 |          8 |         31 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLAudioElement.js                                         | JavaScript         |         27 |          0 |         18 |         45 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLCanvasElement.js                                        | JavaScript         |         14 |          7 |          6 |         27 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLElement.js                                              | JavaScript         |         79 |          0 |         25 |        104 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLImageElement.js                                         | JavaScript         |         11 |          7 |          5 |         23 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLMediaElement.js                                         | JavaScript         |         48 |          0 |         21 |         69 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLVideoElement.js                                         | JavaScript         |         28 |          0 |         18 |         46 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Image.js                                                    | JavaScript         |         14 |          0 |          6 |         20 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\ImageBitmap.js                                              | JavaScript         |         11 |          0 |          5 |         16 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Node.js                                                     | JavaScript         |         56 |          4 |         24 |         84 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\WebGLRenderingContext.js                                    | JavaScript         |        307 |          0 |          5 |        312 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\WebSocket.js                                                | JavaScript         |         88 |          7 |         22 |        117 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\WindowProperties.js                                         | JavaScript         |         33 |          0 |          3 |         36 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Worker.js                                                   | JavaScript         |         11 |          0 |          3 |         14 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\XMLHttpRequest.js                                           | JavaScript         |        197 |          6 |         63 |        266 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\document.js                                                 | JavaScript         |        121 |          0 |         22 |        143 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\index.js                                                    | JavaScript         |         55 |          0 |         23 |         78 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\localStorage.js                                             | JavaScript         |         32 |          0 |          4 |         36 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\location.js                                                 | JavaScript         |         13 |          0 |          1 |         14 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\navigator.js                                                | JavaScript         |         35 |          3 |          5 |         43 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\util\index.js                                               | JavaScript         |          6 |          0 |          2 |          8 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\window.js                                                   | JavaScript         |        194 |          1 |         23 |        218 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\engine\VideoPlayer.js                                               | JavaScript         |        369 |         24 |         69 |        462 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\engine\index.js                                                     | JavaScript         |          3 |          0 |          2 |          5 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\engine\sprite-frame.js                                              | JavaScript         |         21 |          0 |          6 |         27 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\fs-utils.js                                                         | JavaScript         |        214 |         24 |          5 |        243 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\unify.js                                                            | JavaScript         |         84 |          2 |         23 |        109 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\utils.js                                                            | JavaScript         |         10 |          6 |          1 |         17 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\project.config.json                                                              | JSON               |         59 |          0 |          0 |         59 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\bundle-scripts\Animation\index.1cb29.js                                      | JavaScript         |         17 |          1 |          3 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\bundle-scripts\Material\index.a2ebe.js                                       | JavaScript         |         17 |          1 |          3 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\bundle-scripts\Model\index.8cd1b.js                                          | JavaScript         |         17 |          1 |          3 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\bundle-scripts\Prefab\index.867ef.js                                         | JavaScript         |         17 |          1 |          3 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\bundle-scripts\Texture\index.5ae95.js                                        | JavaScript         |         17 |          1 |          3 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\bundle-scripts\resources\index.af382.js                                      | JavaScript         |         17 |          1 |          3 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\chunks\bundle.6150a.js                                                       | JavaScript         |          3 |          1 |          1 |          5 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\import-map.8d466.js                                                          | JavaScript         |         25 |          0 |          1 |         26 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\polyfills.bundle.43263.js                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\settings.ee20e.json                                                          | JSON               |          1 |          0 |          0 |          1 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\src\system.bundle.75084.js                                                       | JavaScript         |          1 |          1 |          1 |          3 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\config.c7282.json                                               | JSON               |          1 |          0 |          0 |          1 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\game.js                                                         | JavaScript         |         17 |          1 |          3 |         21 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\03\03927e900.b88a4.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\04\043c5e3c3.40923.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\07\07a44a026.5b2be.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\07\07cb71310.39f09.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\09\09ba66590.f7381.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\0b\0b4ad8b20.11e3a.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\0b\0be2ae0d-cd18-4ba5-a4e5-6385696065f1.ce8a5.json       | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\0c\0ca97856f.1ff7e.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\0d\0d8bfd88d.1b0d2.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\0d\0dee15d70.2e324.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\0e\0e7a94718.40462.json                                  | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\62\624bb6a2-a019-4ed5-add6-0e2d1c14fab6@f9941.1895e.json | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\subpackages\main\import\eb\eba3285f-aefe-49cf-bd61-b81b269fdea2.e1d05.json       | JSON               |          1 |          0 |          1 |          2 |
| d:\PZB\Cocos3D\HelloTK3.4.0\package.json                                                                                   | JSON               |          9 |          0 |          1 |         10 |
| d:\PZB\Cocos3D\HelloTK3.4.0\settings\v2\packages\builder.json                                                              | JSON               |          3 |          0 |          1 |          4 |
| d:\PZB\Cocos3D\HelloTK3.4.0\settings\v2\packages\cocos-service.json                                                        | JSON               |         53 |          0 |          1 |         54 |
| d:\PZB\Cocos3D\HelloTK3.4.0\settings\v2\packages\device.json                                                               | JSON               |          3 |          0 |          1 |          4 |
| d:\PZB\Cocos3D\HelloTK3.4.0\settings\v2\packages\engine.json                                                               | JSON               |        115 |          0 |          1 |        116 |
| d:\PZB\Cocos3D\HelloTK3.4.0\settings\v2\packages\program.json                                                              | JSON               |          3 |          0 |          1 |          4 |
| d:\PZB\Cocos3D\HelloTK3.4.0\settings\v2\packages\project.json                                                              | JSON               |         10 |          0 |          1 |         11 |
| d:\PZB\Cocos3D\HelloTK3.4.0\tsconfig.json                                                                                  | JSON with Comments |          6 |          2 |          2 |         10 |
| Total                                                                                                                      |                    |     12,784 |        750 |      2,083 |     15,617 |
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
