"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Inventory\InventoryMgr.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\DynamicList.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueJoin.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueList.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\MainPage.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\MainScene.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\TaskList\Task.ts", "TypeScript", -1, 0, -30, -6, -37
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\TaskList\TaskList.ts", "TypeScript", 4, 0, 1, 2, 7
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\TaskList\TaskMgr.ts", "TypeScript", 64, 0, -23, 4, 45
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StageDetails.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StageMaker.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StagePage.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\UIBase.ts", "TypeScript", -9, 0, 0, 0, -9
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\UIContainer.ts", "TypeScript", 6, 0, 0, 0, 6
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\UIMgr.ts", "TypeScript", 1, 0, 1, 0, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\hero.json", "JSON", 0, 6, 0, 0, 6
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\monsters.json", "JSON", 0, 5, 0, 0, 5
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\task.json", "JSON", 0, 79, 0, 0, 79
"Total", "-", 72, 90, -49, -9, 104
